
[Name]
solidXZ

[Data]
X [ m ], Y [ m ], Z [ m ], Temperature [ K ], Temperature.Gradient X [ m^-1 K ], Temperature.Gradient Y [ m^-1 K ], Temperature.Gradient Z [ m^-1 K ]
-8.00000038e-03, 0.00000000e+00, -1.99999996e-02, 6.52829346e+02, 1.83428540e+03, 2.12883881e+02, -1.20168291e+04
-8.99999961e-03, 0.00000000e+00, -1.99999996e-02, 6.51323730e+02, 1.96871899e+03, 2.20274841e+02, -1.28176523e+04
-8.99999961e-03, 0.00000000e+00, -1.89999994e-02, 6.38527100e+02, 2.39334180e+03, 2.42558472e+02, -1.27138535e+04
-8.00000038e-03, 0.00000000e+00, -1.89999994e-02, 6.40830688e+02, 2.21363037e+03, 2.32713287e+02, -1.19098838e+04
-7.00000022e-03, 0.00000000e+00, -1.99999996e-02, 6.54235352e+02, 1.69173010e+03, 2.07845047e+02, -1.12992402e+04
-7.00000022e-03, 0.00000000e+00, -1.89999994e-02, 6.42952393e+02, 2.02954346e+03, 2.24731888e+02, -1.11927227e+04
-6.00000005e-03, 0.00000000e+00, -1.99999996e-02, 6.55532837e+02, 1.55328918e+03, 2.01465759e+02, -1.06615332e+04
-6.00000005e-03, 0.00000000e+00, -1.89999994e-02, 6.44891418e+02, 1.85054285e+03, 2.16346802e+02, -1.05576523e+04
-4.99999989e-03, 0.00000000e+00, -1.99999996e-02, 6.56743164e+02, 1.41635107e+03, 1.92926971e+02, -1.01009619e+04
-4.99999989e-03, 0.00000000e+00, -1.89999994e-02, 6.46655762e+02, 1.67649463e+03, 2.06980225e+02, -1.00002529e+04
-4.00000019e-03, 0.00000000e+00, -1.99999996e-02, 6.57842712e+02, 1.27853247e+03, 1.84897949e+02, -9.60735547e+03
-4.00000019e-03, 0.00000000e+00, -1.89999994e-02, 6.48247437e+02, 1.50688257e+03, 1.98151566e+02, -9.51175781e+03
-3.00000003e-03, 0.00000000e+00, -1.99999996e-02, 6.58833374e+02, 1.15366357e+03, 1.78168457e+02, -9.17536914e+03
-3.00000003e-03, 0.00000000e+00, -1.89999994e-02, 6.49675171e+02, 1.35055371e+03, 1.90402679e+02, -9.08651563e+03
-2.00000009e-03, 0.00000000e+00, -1.99999996e-02, 6.59746582e+02, 1.04095459e+03, 1.71402039e+02, -8.80671777e+03
-2.00000009e-03, 0.00000000e+00, -1.89999994e-02, 6.50954224e+02, 1.20723779e+03, 1.83015640e+02, -8.72334180e+03
-1.00000005e-03, 0.00000000e+00, -1.99999996e-02, 6.60581543e+02, 9.30431274e+02, 1.64962418e+02, -8.49603320e+03
-1.00000005e-03, 0.00000000e+00, -1.89999994e-02, 6.52093933e+02, 1.07067456e+03, 1.76187881e+02, -8.41681250e+03
-6.93889390e-18, 0.00000000e+00, -1.99999996e-02, 6.61322998e+02, 8.22246460e+02, 1.59565643e+02, -8.23260352e+03
-1.36609474e-17, 0.00000000e+00, -1.89999994e-02, 6.53099365e+02, 9.40657410e+02, 1.70338791e+02, -8.15815918e+03
1.00000005e-03, 0.00000000e+00, -1.99999996e-02, 6.61981445e+02, 7.21067383e+02, 1.54972321e+02, -8.00874365e+03
1.00000005e-03, 0.00000000e+00, -1.89999994e-02, 6.53979919e+02, 8.20203491e+02, 1.65300903e+02, -7.94061035e+03
-8.00000038e-03, 0.00000000e+00, -1.79999992e-02, 6.29049194e+02, 2.97211084e+03, 2.71410156e+02, -1.16527930e+04
-7.00000022e-03, 0.00000000e+00, -1.79999992e-02, 6.31885925e+02, 2.70151929e+03, 2.58529022e+02, -1.09394971e+04
-8.99999961e-03, 0.00000000e+00, -1.79999992e-02, 6.25940308e+02, 3.24601904e+03, 2.85727997e+02, -1.24599805e+04
-6.00000005e-03, 0.00000000e+00, -1.79999992e-02, 6.34456604e+02, 2.44038330e+03, 2.46530182e+02, -1.03127500e+04
-4.99999989e-03, 0.00000000e+00, -1.79999992e-02, 6.36772583e+02, 2.19135986e+03, 2.35158783e+02, -9.76544238e+03
-4.00000019e-03, 0.00000000e+00, -1.79999992e-02, 6.38846191e+02, 1.95594299e+03, 2.24596680e+02, -9.29000977e+03
-3.00000003e-03, 0.00000000e+00, -1.79999992e-02, 6.40692322e+02, 1.73671362e+03, 2.15013214e+02, -8.88003223e+03
-2.00000009e-03, 0.00000000e+00, -1.79999992e-02, 6.42327515e+02, 1.53377954e+03, 2.06355698e+02, -8.53050391e+03
-1.00000005e-03, 0.00000000e+00, -1.79999992e-02, 6.43767273e+02, 1.34536609e+03, 1.98630188e+02, -8.23579883e+03
-1.39862080e-17, 0.00000000e+00, -1.79999992e-02, 6.45025391e+02, 1.17084473e+03, 1.91884155e+02, -7.98957422e+03
1.00000005e-03, 0.00000000e+00, -1.79999992e-02, 6.46116211e+02, 1.01087439e+03, 1.86029205e+02, -7.78626270e+03
-1.00000005e-03, 0.00000000e+00, -1.70000009e-02, 6.35644531e+02, 1.60532056e+03, 2.20828491e+02, -8.00947266e+03
-1.39319979e-17, 0.00000000e+00, -1.70000009e-02, 6.37140015e+02, 1.38545337e+03, 2.13201202e+02, -7.78113672e+03
1.00000005e-03, 0.00000000e+00, -1.70000009e-02, 6.38425171e+02, 1.18496045e+03, 2.06625412e+02, -7.59575586e+03
-3.00000003e-03, 0.00000000e+00, -1.70000009e-02, 6.31944214e+02, 2.10532813e+03, 2.39544205e+02, -8.61621289e+03
-2.00000009e-03, 0.00000000e+00, -1.70000009e-02, 6.33919434e+02, 1.84498682e+03, 2.29592987e+02, -8.28592383e+03
-4.99999989e-03, 0.00000000e+00, -1.70000009e-02, 6.27158569e+02, 2.69152734e+03, 2.63162506e+02, -9.46245605e+03
-4.00000019e-03, 0.00000000e+00, -1.70000009e-02, 6.29697998e+02, 2.38738477e+03, 2.50724976e+02, -9.00628516e+03
-7.00000022e-03, 0.00000000e+00, -1.70000009e-02, 6.21114380e+02, 3.36284863e+03, 2.91879028e+02, -1.06033066e+04
-6.00000005e-03, 0.00000000e+00, -1.70000009e-02, 6.24304321e+02, 3.01709473e+03, 2.76864655e+02, -9.99201953e+03
-8.99999961e-03, 0.00000000e+00, -1.70000009e-02, 6.13656128e+02, 4.10201270e+03, 3.26516602e+02, -1.21082637e+04
-8.00000038e-03, 0.00000000e+00, -1.70000009e-02, 6.17570068e+02, 3.72618164e+03, 3.08357361e+02, -1.13054014e+04
-8.00000038e-03, 0.00000000e+00, -1.60000008e-02, 6.06487427e+02, 4.46654395e+03, 3.43615295e+02, -1.08598535e+04
-7.00000022e-03, 0.00000000e+00, -1.60000008e-02, 6.10723267e+02, 4.00541577e+03, 3.24020264e+02, -1.01790117e+04
-8.99999961e-03, 0.00000000e+00, -1.60000008e-02, 6.01778198e+02, 4.95227148e+03, 3.65283295e+02, -1.16476133e+04
-6.00000005e-03, 0.00000000e+00, -1.60000008e-02, 6.14512085e+02, 3.57248340e+03, 3.06330872e+02, -9.59233594e+03
-4.99999989e-03, 0.00000000e+00, -1.60000008e-02, 6.17882813e+02, 3.16917236e+03, 2.90408936e+02, -9.08886035e+03
-4.00000019e-03, 0.00000000e+00, -1.60000008e-02, 6.20865234e+02, 2.79559985e+03, 2.76139709e+02, -8.65916602e+03
-3.00000003e-03, 0.00000000e+00, -1.60000008e-02, 6.23488525e+02, 2.45113721e+03, 2.63437592e+02, -8.29520996e+03
-2.00000009e-03, 0.00000000e+00, -1.60000008e-02, 6.25781433e+02, 2.13461597e+03, 2.52232483e+02, -7.99005762e+03
-1.00000005e-03, 0.00000000e+00, -1.60000008e-02, 6.27771057e+02, 1.84463391e+03, 2.42440826e+02, -7.73756299e+03
-1.40404181e-17, 0.00000000e+00, -1.60000008e-02, 6.29483337e+02, 1.57983179e+03, 2.33974976e+02, -7.53220313e+03
1.00000005e-03, 0.00000000e+00, -1.60000008e-02, 6.30942810e+02, 1.33912158e+03, 2.26734802e+02, -7.36904199e+03
-1.00000005e-03, 0.00000000e+00, -1.49999997e-02, 6.20192017e+02, 2.05794702e+03, 2.63262482e+02, -7.42055176e+03
-1.39319979e-17, 0.00000000e+00, -1.49999997e-02, 6.22095703e+02, 1.74934839e+03, 2.54043762e+02, -7.24308203e+03
1.00000005e-03, 0.00000000e+00, -1.49999997e-02, 6.23705078e+02, 1.46937158e+03, 2.46221893e+02, -7.10647656e+03
-3.00000003e-03, 0.00000000e+00, -1.49999997e-02, 6.15382141e+02, 2.76800269e+03, 2.86361359e+02, -7.91751465e+03
-2.00000009e-03, 0.00000000e+00, -1.49999997e-02, 6.17964600e+02, 2.39683130e+03, 2.73995758e+02, -7.64358496e+03
-4.99999989e-03, 0.00000000e+00, -1.49999997e-02, 6.09016479e+02, 3.61598877e+03, 3.16436768e+02, -8.64364453e+03
-4.00000019e-03, 0.00000000e+00, -1.49999997e-02, 6.12411316e+02, 3.17364795e+03, 3.00471069e+02, -8.24847266e+03
-7.00000022e-03, 0.00000000e+00, -1.49999997e-02, 6.00802246e+02, 4.61853809e+03, 3.54486755e+02, -9.66263477e+03
-6.00000005e-03, 0.00000000e+00, -1.49999997e-02, 6.05160034e+02, 4.09708447e+03, 3.34389771e+02, -9.11158691e+03
-8.99999961e-03, 0.00000000e+00, -1.49999997e-02, 5.90420593e+02, 5.78351074e+03, 4.01788574e+02, -1.10673408e+04
-8.00000038e-03, 0.00000000e+00, -1.49999997e-02, 5.95902588e+02, 5.18101660e+03, 3.76892029e+02, -1.03093906e+04
-1.70000009e-02, 0.00000000e+00, -1.99999996e-02, 6.38683105e+02, 1.62671265e+03, 3.07172668e+02, -2.17847031e+04
-1.79999992e-02, 0.00000000e+00, -1.99999996e-02, 6.37792542e+02, 1.18863159e+03, 3.16749725e+02, -2.28716914e+04
-1.79999992e-02, 0.00000000e+00, -1.89999994e-02, 6.14882202e+02, 1.73923804e+03, 3.63198242e+02, -2.31429668e+04
-1.70000009e-02, 0.00000000e+00, -1.89999994e-02, 6.16871277e+02, 2.23885107e+03, 3.50794556e+02, -2.19802656e+04
-1.60000008e-02, 0.00000000e+00, -1.99999996e-02, 6.39894714e+02, 1.94464819e+03, 2.96217224e+02, -2.05921016e+04
-1.60000008e-02, 0.00000000e+00, -1.89999994e-02, 6.19287659e+02, 2.59458105e+03, 3.36982056e+02, -2.07181602e+04
-1.49999997e-02, 0.00000000e+00, -1.99999996e-02, 6.41338623e+02, 2.15701465e+03, 2.85079224e+02, -1.93475371e+04
-1.49999997e-02, 0.00000000e+00, -1.89999994e-02, 6.21993164e+02, 2.81544238e+03, 3.22809082e+02, -1.94097930e+04
-1.40000004e-02, 0.00000000e+00, -1.99999996e-02, 6.42953186e+02, 2.27103223e+03, 2.75861420e+02, -1.81036523e+04
-1.40000004e-02, 0.00000000e+00, -1.89999994e-02, 6.24857544e+02, 2.91142871e+03, 3.09778198e+02, -1.81109688e+04
-1.30000003e-02, 0.00000000e+00, -1.99999996e-02, 6.44648560e+02, 2.29859326e+03, 2.66143860e+02, -1.68968398e+04
-1.30000003e-02, 0.00000000e+00, -1.89999994e-02, 6.27766479e+02, 2.90691675e+03, 2.96608337e+02, -1.68622559e+04
-1.20000001e-02, 0.00000000e+00, -1.99999996e-02, 6.46365967e+02, 2.26589453e+03, 2.54449478e+02, -1.57502773e+04
-1.20000001e-02, 0.00000000e+00, -1.89999994e-02, 6.30635864e+02, 2.83296875e+03, 2.82437256e+02, -1.56868496e+04
-1.09999999e-02, 0.00000000e+00, -1.99999996e-02, 6.48068115e+02, 2.19522046e+03, 2.42846344e+02, -1.46834297e+04
-1.09999999e-02, 0.00000000e+00, -1.89999994e-02, 6.33408936e+02, 2.71461084e+03, 2.68540466e+02, -1.46003730e+04
-9.99999978e-03, 0.00000000e+00, -1.99999996e-02, 6.49737305e+02, 2.09279614e+03, 2.31132599e+02, -1.37060352e+04
-9.99999978e-03, 0.00000000e+00, -1.89999994e-02, 6.36049133e+02, 2.56404810e+03, 2.55009659e+02, -1.36097324e+04
-1.79999992e-02, 0.00000000e+00, -1.79999992e-02, 5.91432983e+02, 2.93167188e+03, 4.56865173e+02, -2.37555977e+04
-1.70000009e-02, 0.00000000e+00, -1.79999992e-02, 5.94672363e+02, 3.54659131e+03, 4.38275574e+02, -2.24181973e+04
-1.60000008e-02, 0.00000000e+00, -1.79999992e-02, 5.98430908e+02, 3.97606592e+03, 4.18177155e+02, -2.09910195e+04
-1.49999997e-02, 0.00000000e+00, -1.79999992e-02, 6.02527588e+02, 4.20759277e+03, 3.97495667e+02, -1.95257461e+04
-1.40000004e-02, 0.00000000e+00, -1.79999992e-02, 6.06755798e+02, 4.24898486e+03, 3.77131226e+02, -1.80948672e+04
-1.30000003e-02, 0.00000000e+00, -1.79999992e-02, 6.10960571e+02, 4.16222119e+03, 3.57251404e+02, -1.67507383e+04
-1.20000001e-02, 0.00000000e+00, -1.79999992e-02, 6.15036987e+02, 3.99201953e+03, 3.37825500e+02, -1.55117754e+04
-1.09999999e-02, 0.00000000e+00, -1.79999992e-02, 6.18917297e+02, 3.76951514e+03, 3.19219604e+02, -1.43842793e+04
-9.99999978e-03, 0.00000000e+00, -1.79999992e-02, 6.22559692e+02, 3.51566748e+03, 3.01747314e+02, -1.33684063e+04
-1.09999999e-02, 0.00000000e+00, -1.70000009e-02, 6.04695923e+02, 4.85505469e+03, 3.68297180e+02, -1.40589336e+04
-9.99999978e-03, 0.00000000e+00, -1.70000009e-02, 6.09364319e+02, 4.48239648e+03, 3.46498047e+02, -1.30225635e+04
-1.30000003e-02, 0.00000000e+00, -1.70000009e-02, 5.94317749e+02, 5.49966406e+03, 4.16868683e+02, -1.65359082e+04
-1.20000001e-02, 0.00000000e+00, -1.70000009e-02, 5.99667847e+02, 5.20224805e+03, 3.91812439e+02, -1.52272012e+04
-1.49999997e-02, 0.00000000e+00, -1.70000009e-02, 5.82967407e+02, 5.77339941e+03, 4.70773193e+02, -1.95933398e+04
-1.40000004e-02, 0.00000000e+00, -1.70000009e-02, 5.88713501e+02, 5.71360742e+03, 4.43266846e+02, -1.79938047e+04
-1.70000009e-02, 0.00000000e+00, -1.70000009e-02, 5.71993286e+02, 5.05353027e+03, 5.26100647e+02, -2.30364004e+04
-1.60000008e-02, 0.00000000e+00, -1.70000009e-02, 5.77274231e+02, 5.55846387e+03, 4.98716431e+02, -2.12907266e+04
-1.79999992e-02, 0.00000000e+00, -1.70000009e-02, 5.67304443e+02, 4.38255859e+03, 5.52365356e+02, -2.45476348e+04
-1.79999992e-02, 0.00000000e+00, -1.60000008e-02, 5.42297241e+02, 5.77689453e+03, 6.48032715e+02, -2.57930313e+04
-1.69948973e-02, 0.00000000e+00, -1.60096195e-02, 5.48769043e+02, 6.79919727e+03, 6.13677368e+02, -2.37479922e+04
-1.60000008e-02, 0.00000000e+00, -1.60000008e-02, 5.55866089e+02, 7.49507520e+03, 5.77982788e+02, -2.15645352e+04
-1.49999997e-02, 0.00000000e+00, -1.60000008e-02, 5.63389771e+02, 7.53381152e+03, 5.42293579e+02, -1.95075117e+04
-1.40000004e-02, 0.00000000e+00, -1.60000008e-02, 5.70847351e+02, 7.30982617e+03, 5.07531097e+02, -1.77312773e+04
-1.30000003e-02, 0.00000000e+00, -1.60000008e-02, 5.77962280e+02, 6.91917871e+03, 4.74588196e+02, -1.61734512e+04
-1.20000001e-02, 0.00000000e+00, -1.60000008e-02, 5.84652100e+02, 6.46094385e+03, 4.43827057e+02, -1.48039336e+04
-1.09999999e-02, 0.00000000e+00, -1.60000008e-02, 5.90864746e+02, 5.96487793e+03, 4.15335846e+02, -1.36036553e+04
-9.99999978e-03, 0.00000000e+00, -1.60000008e-02, 5.96574585e+02, 5.45570313e+03, 3.89163361e+02, -1.25568965e+04
-1.09999999e-02, 0.00000000e+00, -1.49999997e-02, 5.77564819e+02, 7.08640820e+03, 4.59777710e+02, -1.29964775e+04
-9.99999978e-03, 0.00000000e+00, -1.49999997e-02, 5.84318359e+02, 6.42190967e+03, 4.29364014e+02, -1.19555068e+04
-1.30000003e-02, 0.00000000e+00, -1.49999997e-02, 5.62063232e+02, 8.40476953e+03, 5.29554199e+02, -1.56239629e+04
-1.20000001e-02, 0.00000000e+00, -1.49999997e-02, 5.70143555e+02, 7.75601270e+03, 4.93152069e+02, -1.42128262e+04
-1.40000004e-02, 0.00000000e+00, -1.49999997e-02, 5.53356812e+02, 9.01646387e+03, 5.69030884e+02, -1.72583516e+04
-1.49999997e-02, 0.00000000e+00, -1.49999997e-02, 5.44082886e+02, 9.64874414e+03, 6.11248169e+02, -1.91603828e+04
-1.69714987e-02, 0.00000000e+00, -1.50323696e-02, 5.25435913e+02, 9.33396289e+03, 7.00555481e+02, -2.41940410e+04
-1.59844700e-02, 0.00000000e+00, -1.50100263e-02, 5.34587280e+02, 9.97688477e+03, 6.55931519e+02, -2.15475313e+04
-1.79702360e-02, 0.00000000e+00, -1.50521863e-02, 5.17225464e+02, 7.52270215e+03, 7.44444580e+02, -2.73469063e+04
-1.78906564e-02, 0.00000000e+00, -1.41145345e-02, 4.92108704e+02, 1.01025029e+04, 8.34631470e+02, -2.68270527e+04
-1.69367921e-02, 0.00000000e+00, -1.40326731e-02, 5.01485535e+02, 1.23352754e+04, 7.86001709e+02, -2.36969336e+04
-1.59787182e-02, 0.00000000e+00, -1.40060922e-02, 5.13192139e+02, 1.30716006e+04, 7.32659729e+02, -2.08024609e+04
-1.49999997e-02, 0.00000000e+00, -1.40000004e-02, 5.25225342e+02, 1.19555732e+04, 6.77732300e+02, -1.86143945e+04
-8.99999961e-03, 0.00000000e+00, -1.40000004e-02, 5.79707397e+02, 6.57741309e+03, 4.35621582e+02, -1.03584229e+04
-8.00000038e-03, 0.00000000e+00, -1.40000004e-02, 5.85922974e+02, 5.85411719e+03, 4.07801025e+02, -9.64937012e+03
-7.00000022e-03, 0.00000000e+00, -1.40000004e-02, 5.91444702e+02, 5.18932617e+03, 3.82886047e+02, -9.05223438e+03
-6.00000005e-03, 0.00000000e+00, -1.40000004e-02, 5.96329346e+02, 4.58012891e+03, 3.60650970e+02, -8.54944922e+03
-4.99999989e-03, 0.00000000e+00, -1.40000004e-02, 6.00630920e+02, 4.02293994e+03, 3.40889618e+02, -8.12739551e+03
-4.00000019e-03, 0.00000000e+00, -1.40000004e-02, 6.04399414e+02, 3.51396582e+03, 3.23413208e+02, -7.77529688e+03
-3.00000003e-03, 0.00000000e+00, -1.40000004e-02, 6.07681152e+02, 3.04945215e+03, 3.08055481e+02, -7.48448730e+03
-2.00000009e-03, 0.00000000e+00, -1.40000004e-02, 6.10518799e+02, 2.62589771e+03, 2.94670471e+02, -7.24790039e+03
-1.00000005e-03, 0.00000000e+00, -1.40000004e-02, 6.12951904e+02, 2.24016333e+03, 2.83123962e+02, -7.05965039e+03
-1.43656788e-17, 0.00000000e+00, -1.40000004e-02, 6.15016785e+02, 1.88951709e+03, 2.73272919e+02, -6.91473438e+03
1.00000005e-03, 0.00000000e+00, -1.40000004e-02, 6.16747437e+02, 1.57171387e+03, 2.64986145e+02, -6.80882813e+03
-8.99999961e-03, 0.00000000e+00, -1.30000003e-02, 5.69769775e+02, 7.30998682e+03, 4.66322632e+02, -9.51547656e+03
-8.00000038e-03, 0.00000000e+00, -1.30000003e-02, 5.76658569e+02, 6.46731299e+03, 4.35945618e+02, -8.87876367e+03
-7.00000022e-03, 0.00000000e+00, -1.30000003e-02, 5.82743896e+02, 5.70318555e+03, 4.08858490e+02, -8.34884570e+03
-6.00000005e-03, 0.00000000e+00, -1.30000003e-02, 5.88100464e+02, 5.00993848e+03, 3.84785950e+02, -7.90796338e+03
-4.99999989e-03, 0.00000000e+00, -1.30000003e-02, 5.92795776e+02, 4.38057129e+03, 3.63477905e+02, -7.54257764e+03
-4.00000019e-03, 0.00000000e+00, -1.30000003e-02, 5.96890503e+02, 3.80879492e+03, 3.44714539e+02, -7.24221680e+03
-3.00000003e-03, 0.00000000e+00, -1.30000003e-02, 6.00439514e+02, 3.28901221e+03, 3.28306244e+02, -6.99863818e+03
-2.00000009e-03, 0.00000000e+00, -1.30000003e-02, 6.03492188e+02, 2.81630396e+03, 3.14081726e+02, -6.80526074e+03
-1.00000005e-03, 0.00000000e+00, -1.30000003e-02, 6.06093628e+02, 2.38650879e+03, 3.01882507e+02, -6.65675928e+03
-1.41488384e-17, 0.00000000e+00, -1.30000003e-02, 6.08285034e+02, 1.99615137e+03, 2.91548981e+02, -6.54869531e+03
1.00000005e-03, 0.00000000e+00, -1.30000003e-02, 6.10104370e+02, 1.64240332e+03, 2.82938232e+02, -6.47727832e+03
-8.99999961e-03, 0.00000000e+00, -1.20000001e-02, 5.60740234e+02, 7.95379102e+03, 4.93453735e+02, -8.54262695e+03
-8.00000038e-03, 0.00000000e+00, -1.20000001e-02, 5.68217651e+02, 7.00050391e+03, 4.60968933e+02, -8.00235547e+03
-7.00000022e-03, 0.00000000e+00, -1.20000001e-02, 5.74790527e+02, 6.14481543e+03, 4.32097778e+02, -7.55745996e+03
-6.00000005e-03, 0.00000000e+00, -1.20000001e-02, 5.80550293e+02, 5.37461182e+03, 4.06523254e+02, -7.19204688e+03
-4.99999989e-03, 0.00000000e+00, -1.20000001e-02, 5.85577515e+02, 4.67949902e+03, 3.83963226e+02, -6.89383887e+03
-4.00000019e-03, 0.00000000e+00, -1.20000001e-02, 5.89942627e+02, 4.05062842e+03, 3.64171692e+02, -6.65344336e+03
-3.00000003e-03, 0.00000000e+00, -1.20000001e-02, 5.93708252e+02, 3.48055762e+03, 3.46941467e+02, -6.46364941e+03
-2.00000009e-03, 0.00000000e+00, -1.20000001e-02, 5.96930176e+02, 2.96297192e+03, 3.32081726e+02, -6.31881787e+03
-1.00000005e-03, 0.00000000e+00, -1.20000001e-02, 5.99658081e+02, 2.49268384e+03, 3.19412598e+02, -6.21447949e+03
-1.41488384e-17, 0.00000000e+00, -1.20000001e-02, 6.01937195e+02, 2.06551611e+03, 3.08763000e+02, -6.14700781e+03
1.00000005e-03, 0.00000000e+00, -1.20000001e-02, 6.03809082e+02, 1.67810657e+03, 2.99981018e+02, -6.11336035e+03
1.00000005e-03, 0.00000000e+00, -1.09999999e-02, 5.97892883e+02, 1.67605408e+03, 3.16029053e+02, -5.71898535e+03
2.54061095e-15, 0.00000000e+00, -1.09999999e-02, 5.96007568e+02, 2.09449463e+03, 3.24815857e+02, -5.71226807e+03
-1.00000005e-03, 0.00000000e+00, -1.09999999e-02, 5.93682739e+02, 2.55505518e+03, 3.35596802e+02, -5.73615039e+03
-2.00000009e-03, 0.00000000e+00, -1.09999999e-02, 5.90874390e+02, 3.06150415e+03, 3.48536316e+02, -5.79272363e+03
-3.00000003e-03, 0.00000000e+00, -1.09999999e-02, 5.87534180e+02, 3.61867871e+03, 3.63813324e+02, -5.88455273e+03
-4.00000019e-03, 0.00000000e+00, -1.09999999e-02, 5.83608398e+02, 4.23267676e+03, 3.81616516e+02, -6.01493555e+03
-4.99999989e-03, 0.00000000e+00, -1.09999999e-02, 5.79036377e+02, 4.91102197e+03, 4.02151245e+02, -6.18812109e+03
-6.00000005e-03, 0.00000000e+00, -1.09999999e-02, 5.73749268e+02, 5.66291504e+03, 4.25640137e+02, -6.40974902e+03
-7.00000022e-03, 0.00000000e+00, -1.09999999e-02, 5.67667847e+02, 6.49958691e+03, 4.52343018e+02, -6.68742578e+03
-8.00000038e-03, 0.00000000e+00, -1.09999999e-02, 5.60700562e+02, 7.43458301e+03, 4.82564331e+02, -7.03139648e+03
-8.99999961e-03, 0.00000000e+00, -1.09999999e-02, 5.52741333e+02, 8.48394141e+03, 5.16654053e+02, -7.45536816e+03
-8.99999961e-03, 0.00000000e+00, -9.99999978e-03, 5.45877502e+02, 8.87989844e+03, 5.35653137e+02, -6.27130566e+03
-8.00000038e-03, 0.00000000e+00, -9.99999978e-03, 5.54194031e+02, 7.75280762e+03, 5.00497192e+02, -5.98111035e+03
-7.00000022e-03, 0.00000000e+00, -9.99999978e-03, 5.61447998e+02, 6.75467236e+03, 4.69389709e+02, -5.75178027e+03
-6.00000005e-03, 0.00000000e+00, -9.99999978e-03, 5.67758179e+02, 5.86519336e+03, 4.41958221e+02, -5.57210059e+03
-4.99999989e-03, 0.00000000e+00, -9.99999978e-03, 5.73224915e+02, 5.06784766e+03, 4.17886597e+02, -5.43462988e+03
-4.00000019e-03, 0.00000000e+00, -9.99999978e-03, 5.77933716e+02, 4.34936719e+03, 3.96912231e+02, -5.33430371e+03
-3.00000003e-03, 0.00000000e+00, -9.99999978e-03, 5.81958008e+02, 3.69908789e+03, 3.78800659e+02, -5.26759180e+03
-2.00000009e-03, 0.00000000e+00, -9.99999978e-03, 5.85361938e+02, 3.10851807e+03, 3.63337860e+02, -5.23200293e+03
-1.00000005e-03, 0.00000000e+00, -9.99999978e-03, 5.88201782e+02, 2.57085889e+03, 3.50338013e+02, -5.22575928e+03
2.54063806e-15, 0.00000000e+00, -9.99999978e-03, 5.90527649e+02, 2.08077808e+03, 3.39621246e+02, -5.24755713e+03
-1.73806027e-02, 0.00000000e+00, -9.91341751e-03, 4.00023376e+02, 2.57761973e+04, 1.05609375e+03, -1.86237969e+04
-1.70960743e-02, 0.00000000e+00, -8.97545181e-03, 3.96472290e+02, 2.98482402e+04, 1.05707190e+03, -1.05166982e+04
-1.62680857e-02, 0.00000000e+00, -9.13467444e-03, 4.24040283e+02, 2.76927617e+04, 9.98064392e+02, -9.41275879e+03
-1.65912490e-02, 0.00000000e+00, -1.03328535e-02, 4.30264282e+02, 2.75721133e+04, 9.98485291e+02, -1.58813926e+04
-1.78426523e-02, 0.00000000e+00, -1.07778516e-02, 4.07594940e+02, 2.21490586e+04, 1.05787012e+03, -1.95518320e+04
-1.70834064e-02, 0.00000000e+00, -1.16244424e-02, 4.43564758e+02, 2.11407617e+04, 9.75277283e+02, -2.15858047e+04
-1.84644666e-02, 0.00000000e+00, -1.15355337e-02, 4.06946106e+02, 2.72978984e+04, 1.07412561e+03, -2.70006172e+04
-1.80881191e-02, 0.00000000e+00, -1.22484099e-02, 4.38675781e+02, 2.18041172e+04, 1.01788135e+03, -3.05263398e+04
-1.40000004e-02, 0.00000000e+00, -1.40000004e-02, 5.36465942e+02, 1.08623398e+04, 6.27008911e+02, -1.66255781e+04
-1.30000003e-02, 0.00000000e+00, -1.40000004e-02, 5.46820679e+02, 9.95067773e+03, 5.80899780e+02, -1.48771523e+04
-1.20000001e-02, 0.00000000e+00, -1.40000004e-02, 5.56322754e+02, 9.07030762e+03, 5.39022827e+02, -1.34280830e+04
-1.09999999e-02, 0.00000000e+00, -1.40000004e-02, 5.64959961e+02, 8.20126953e+03, 5.00988037e+02, -1.22152520e+04
-9.99999978e-03, 0.00000000e+00, -1.40000004e-02, 5.72739014e+02, 7.36051563e+03, 4.66597839e+02, -1.12027666e+04
-1.78542528e-02, 0.00000000e+00, -1.31429611e-02, 4.67607269e+02, 1.25267734e+04, 9.21445557e+02, -2.53290781e+04
-1.69564709e-02, 0.00000000e+00, -1.29647255e-02, 4.75066956e+02, 1.63290654e+04, 8.76169678e+02, -2.14422129e+04
-1.60061624e-02, 0.00000000e+00, -1.29209943e-02, 4.91080170e+02, 1.67654531e+04, 8.07845703e+02, -2.07292578e+04
-1.50059331e-02, 0.00000000e+00, -1.29810814e-02, 5.06600769e+02, 1.38871621e+04, 7.39034058e+02, -1.81306953e+04
-1.40000004e-02, 0.00000000e+00, -1.30000003e-02, 5.20292847e+02, 1.26730137e+04, 6.79738403e+02, -1.57111455e+04
-1.30000003e-02, 0.00000000e+00, -1.30000003e-02, 5.32460205e+02, 1.15001445e+04, 6.27309570e+02, -1.38842324e+04
-1.20000001e-02, 0.00000000e+00, -1.30000003e-02, 5.43394531e+02, 1.03616553e+04, 5.80440918e+02, -1.23649941e+04
